ID_Venta,Fecha,ID_Producto,ID_Cliente,Cantidad,Precio_Unitario,Costo_Unitario,Descuento_Aplicado
V001,2023-01-05,P001,C001,2,1200.50,900.00,0.05
V002,2023-01-10,P002,C003,1,850.00,600.00,0.00
V003,2023-01-15,P003,C002,5,45.99,20.00,0.10
V004,2023-02-01,P001,C004,1,1200.50,900.00,0.00
V005,2023-02-12,P004,C001,3,150.00,80.00,0.00
V006,2023-03-05,P002,C005,2,850.00,600.00,0.15
V007,2023-03-20,P005,C003,10,12.50,5.00,0.00
V008,2023-04-02,P003,C006,4,45.99,20.00,0.00
V009,2023-04-15,P006,C007,1,2100.00,1500.00,0.05
V010,2023-05-10,P007,C008,2,350.00,210.00,0.00
V011,2023-05-25,P002,C009,1,850.00,600.00,0.10
V012,2023-06-05,P008,C010,5,120.00,45.00,0.00
V013,2023-06-18,P009,C011,2,95.00,40.00,0.00
V014,2023-07-10,P010,C012,1,180.00,95.00,0.20
V015,2023-08-22,P011,C013,4,650.00,400.00,0.00
V016,2023-09-05,P012,C014,2,25.00,12.00,0.05
V017,2023-10-14,P013,C015,20,450.00,310.00,0.00
V018,2023-11-01,P014,C016,6,15.50,8.00,0.10
V019,2023-12-15,P015,C017,1,3200.00,2400.00,0.00
V020,2024-01-10,P001,C018,2,1250.00,900.00,0.00
V021,2024-01-20,P007,C019,3,365.00,210.00,0.05
V022,2024-02-05,P008,C020,1,130.00,45.00,0.00
V023,2024-02-18,P003,C021,4,48.00,20.00,0.00
V024,2024-03-01,P010,C022,5,190.00,95.00,0.15
V025,2024-03-15,P004,C023,2,160.00,80.00,0.00
V026,2024-04-05,P016,C024,1,950.00,700.00,0.00
V027,2024-04-22,P017,C025,3,120.00,60.00,0.10
V028,2024-05-10,P018,C026,15,45.00,18.00,0.00
V029,2024-05-25,P019,C027,1,280.00,190.00,0.05
V030,2024-06-12,P020,C028,2,75.00,35.00,0.00
V031,2024-06-25,P001,C029,1,1250.00,900.00,0.00
V032,2024-07-05,P002,C030,3,890.00,600.00,0.08
V033,2024-07-18,P005,C031,10,15.00,5.00,0.00
V034,2024-08-01,P009,C032,2,98.00,40.00,0.00
V035,2024-08-15,P006,C033,1,2200.00,1500.00,0.12
V036,2024-09-02,P011,C034,5,670.00,400.00,0.00
V037,2024-09-20,P012,C035,8,28.00,12.00,0.05
V038,2024-10-05,P013,C036,2,475.00,310.00,0.00
V039,2024-10-18,P015,C037,1,3350.00,2400.00,0.15
V040,2024-11-01,P018,C038,10,48.00,18.00,0.00
V041,2024-11-15,P020,C039,4,78.00,35.00,0.00
V042,2024-12-05,P017,C040,6,125.00,60.00,0.10
V043,2024-12-20,P001,C001,1,1250.00,900.00,0.00
V044,2025-01-05,P002,C005,2,890.00,600.00,0.00
V045,2025-01-15,P004,C010,3,165.00,80.00,0.05
V046,2025-01-25,P008,C015,10,135.00,45.00,0.00
V047,2025-02-02,P009,C020,5,105.00,40.00,0.10
V048,2025-02-10,P003,C025,12,50.00,20.00,0.00
V049,2023-02-20,P011,C030,2,650.00,400.00,0.00
V050,2023-03-12,P013,C035,4,450.00,310.00,0.05
V051,2023-04-25,P016,C040,1,900.00,700.00,0.00
V052,2023-05-15,P001,C022,2,1200.50,900.00,0.00
V053,2023-06-22,P007,C011,5,350.00,210.00,0.10
V054,2023-07-30,P015,C005,1,3200.00,2400.00,0.00
V055,2023-08-14,P019,C001,3,270.00,190.00,0.00
V056,2023-09-22,P004,C009,6,150.00,80.00,0.12
V057,2023-10-05,P008,C012,4,120.00,45.00,0.00
V058,2023-11-18,P002,C018,2,850.00,600.00,0.05
V059,2023-12-01,P010,C024,10,180.00,95.00,0.00
V060,2024-01-25,P014,C030,25,16.00,8.00,0.15
V061,2024-02-12,P017,C036,2,120.00,60.00,0.00
V062,2024-03-20,P006,C040,1,2200.00,1500.00,0.00
V063,2024-04-10,P005,C015,50,15.00,5.00,0.10
V064,2024-05-05,P012,C010,20,28.00,12.00,0.00
V065,2024-06-18,P001,C005,1,1250.00,900.00,0.05
V066,2024-07-30,P003,C022,8,48.00,20.00,0.00
V067,2024-08-12,P007,C033,2,365.00,210.00,0.00
V068,2024-09-05,P011,C001,4,670.00,400.00,0.10
V069,2024-10-22,P013,C012,3,475.00,310.00,0.00
V070,2024-11-10,P020,C018,12,78.00,35.00,0.00
V071,2024-12-01,P016,C025,1,950.00,700.00,0.05
V072,2025-01-10,P009,C030,6,105.00,40.00,0.00
V073,2025-01-28,P002,C002,1,890.00,600.00,0.00
V074,2025-02-05,P015,C008,1,3350.00,2400.00,0.10
V075,2023-02-15,P005,C022,100,12.50,5.00,0.20
V076,2023-04-10,P003,C031,15,45.99,20.00,0.00
V077,2023-06-01,P018,C014,20,45.00,18.00,0.05
V078,2023-08-20,P004,C040,5,150.00,80.00,0.00
